Movie,Actor Name,Salary,Fan Rating,Cinematic Fan Rating,Movie,Actor Name,Salary,Movie,Actor Name,Salary
Ant-Man,Paul Rudd,"1,500,000",38,16,Ant-Man and The Wasp,Paul Rudd,"10,000,000",Captain America Civil War,Chris Evans,"6,900,000"
Black Panther,Chadwidk Boseman,"2,000,000",34,11,Captain America The Winter Soldier,Chris Evans,"3,200,000",Iron Man 3,Robert Downey Jr.,"20,000,000"
Captain America,Chris Evans,"1,000,000",3,6,Guardians Of The Galaxy 2 (Starlord),Chris Pratt,"6,600,000",Thor Ragnarok,Chris Hemsworth,"10,000,000"
Captain Marvel,Brie Larson,"5,000,000",48,78,Iron Man 2,Robert Downey Jr.,"10,000,000",,,
Doctor Strange,Benedict Cumberbatch,"5,513,655",8,3,Thor The Dark World,Chris Hemsworth,"6,000,000",,,
Guardians Of The Galaxy (Star-Lord),Chris Pratt,"1,500,000",21,13,,,,,,
Iron Man,Robert Downey Jr.,"500,000",4,4,,,,,,
Spider Man Homecoming,Tom Holland,"2,000,000",1,2,,,,,,
The Incredible Hulk,Edward Norton,N/A,6,10,,,,,,
Thor,Chris Hemsworth,"200,000",2,1,,,,,,
