Films,Film ID,Budget,Box Office Sales (Global),Rating
Iron Man,1726,140000000,585174222,7.5
The Incredible Hulk,1724,150000000,163712074,6.2
Iron Man 2,10138,200000000,623933331,6.8
Thor,10195,150000000,449326618,6.7
Captain America  The First Avenger,1771,140000000,370569774,6.8
The Avengers,24428,220000000,1519557910,7.6
Iron Man 3,68721,200000000,1215439994,6.9
Thor  The Dark World,76338,170000000,644571402,6.7
Captain America  The Winter Soldier,100402,170000000,714766572,7.7
Guardians of the Galaxy,118340,170000000,773328629,7.9
Avengers  Age of Ultron,99861,280000000,1405403694,7.3
Ant Man,102899,130000000,519311965,7.1
Captain America  Civil War,271110,240000000,1153304495,7.3
Doctor Strange,284052,166000000,677718395,7.3
Guardians of the Galaxy Vol  2,283995,200000000,863756051,7.7
Spider Man  Homecoming,315635,175000000,880166924,7.4
Thor  Ragnarok,284053,180000000,853977126,7.5
Black Panther,284054,200000000,1346739107,7.4
Avengers  Infinity War,299536,300000000,2046239637,8.3
Ant Man and the Wasp,363088,140000000,622379576,7.0
Captain Marvel,299537,152000000,910298835,7.2
