Film,Main Character,Film Budget,BoxOffice (domestic),IMDB Rating (out of 10),Year Released
Iron Man,Iron Man,140000000,318298180,7.9,2008
The Incredible Hulk,The Hulk,150000000,134518390,6.8,2008
Iron Man 2,Iron Man,200000000,312057433,7,2010
Thor,Thor,150000000,181015141,7,2011
Captain America: The First Avenger,Captain America,140000000,176636816,6.9,2011
The Avengers,Captain America,220000000,623279547,8.1,2012
Iron Man 3,Iron Man,200000000,408992272,7.2,2013
Thor: The Dark World,Thor,170000000,206360018,7,2013
Captain America: The Winter Soldier,Captain America,170000000,228636083,7.8,2014
Guardians of the Galaxy,Starlord,170000000,270592504,8.1,2014
Avengers: Age of Ultron,Iron Man,250000000,429113729,7.4,2015
Ant-Man,Ant-Man,130000000,138002223,7.3,2015
Captain America: Civil War,Captain America,250000000,408080554,7.8,2016
Doctor Strange,Doctor Strange,165000000,232630718,7.5,2016
Guardians of the Galaxy Vol. 2,Starlord,200000000,389804217,7.7,2017
Spider-Man: Homecoming,Spider-Man,175000000,334166825,7.5,2017
Thor: Ragnarok,Thor,180000000,314971245,7.9,2017
Black Panther,Black Panther,200000000,501105037,7.3,2018
Avengers: Infinity War,Captain America,321000000,664987816,8.5,2018
Ant-Man and the Wasp,Ant-Man,162000000,216648740,7.1,2018
Captain Marvel,Captain Marvel,152000000,333305815,6.9,2019
,,,,,
