Film,Main Character,Film Budget,Worldwide Gross,Film Profits,IMDB Rating (out of 10),Year Released
Iron Man,Iron Man,140000000,585174222,445174222,7.9,2008
The Incredible Hulk,The Hulk,150000000,263427551,113427551,6.8,2008
Iron Man 2,Iron Man,200000000,623933331,423933331,7,2010
Thor,Thor,150000000,449326618,299326618,7,2011
Captain America: The First Avenger,Captain America,140000000,370569774,230569774,6.9,2011
Marvel's The Avengers,"Captain America, Iron Man, Thor, The Hulk",220000000,1519557910,1299557910,8.1,2012
Iron Man 3,Iron Man,200000000,1215439994,1015439994,7.2,2013
Thor: The Dark World,Thor,170000000,644783140,474783140,7,2013
Captain America: The Winter Soldier,Captain America,170000000,714766572,544766572,7.8,2014
Guardians of the Galaxy,"Starlord, Gamora, Drax, Groot, Rocket",170000000,774176600,604176600,8.1,2014
Avengers: Age of Ultron,"Captain America, Iron Man, Thor, The Hulk",250000000,1405413868,1155413868,7.4,2015
Ant-Man,Ant-Man,130000000,519445163,389445163,7.3,2015
Captain America: Civil War,"Captain America, Iron man, Ant-Man, Black Panther, Spider-Man",250000000,1153304495,903304495,7.8,2016
Doctor Strange,Doctor Strange,165000000,677718395,512718395,7.5,2016
Guardians of the Galaxy Vol. 2,"Starlord, Gamora, Drax, Groot, Rocket",200000000,863756051,663756051,7.7,2017
Spider-Man: Homecoming,"Spider-Man, Iron Man",175000000,880166924,705166924,7.5,2017
Thor: Ragnarok,"Thor, The Hulk",180000000,853977126,673977126,7.9,2017
Black Panther,Black Panther,200000000,1347071259,1147071259,7.3,2018
Avengers: Infinity War,"Captain America, Iron Man, Thor, The Hulk, Doctor Strange, Spider-Man, Starlord, Gamora, Drax, Groot, Rocket",321000000,2048709917,1727709917,8.5,2018
Ant-Man and the Wasp,Ant-Man,162000000,617260330,455260330,7.1,2018
Captain Marvel,Captain Marvel,152000000,333305815,181305815,7.2,2019
