,Film,Main Character,BoxOffice (domestic),Year Released,Profits (Domestic),Budget,Box Office Sales (Global),Profits (Global),Total Average Rating
0,Iron Man,Iron Man,318298180.0,2008,178298180.0,140000000,585174222,445174222,7.7
1,The Incredible Hulk,The Hulk,134518390.0,2008,-15481610.0,150000000,163712074,13712074,6.5
2,Iron Man 2,Iron Man,312057433.0,2010,112057433.0,200000000,623933331,423933331,6.9
3,Thor,Thor,181015141.0,2011,31015141.0,150000000,449326618,299326618,6.8
4,Captain America  The First Avenger,Captain America,176636816.0,2011,36636816.0,140000000,370569774,230569774,6.8
5,Iron Man 3,Iron Man,408992272.0,2013,208992272.0,200000000,1215439994,1015439994,7.0
6,Thor  The Dark World,Thor,206360018.0,2013,36360018.0,170000000,644571402,474571402,6.8
7,Captain America  The Winter Soldier,Captain America,228636083.0,2014,58636083.0,170000000,714766572,544766572,7.8
8,Guardians of the Galaxy,Starlord,270592504.0,2014,100592504.0,170000000,773328629,603328629,8.0
9,Ant Man,Ant-Man,138002223.0,2015,8002223.0,130000000,519311965,389311965,7.2
10,Captain America  Civil War,Captain America,408080554.0,2016,158080554.0,240000000,1153304495,913304495,7.6
11,Doctor Strange,Doctor Strange,232630718.0,2016,67630718.0,166000000,677718395,511718395,7.4
12,Guardians of the Galaxy Vol  2,Starlord,389804217.0,2017,189804217.0,200000000,863756051,663756051,7.7
13,Spider Man  Homecoming,Spider-Man,334166825.0,2017,159166825.0,175000000,880166924,705166924,7.4
14,Thor  Ragnarok,Thor,314971245.0,2017,134971245.0,180000000,853977126,673977126,7.7
15,Black Panther,Black Panther,501105037.0,2018,301105037.0,200000000,1346739107,1146739107,7.4
16,Ant Man and the Wasp,Ant-Man,216648740.0,2018,54648740.0,140000000,622379576,482379576,7.0
